state,Country,origin_id
Estelí,Nicaragua,800
Estelí,Nicaragua,801
Jinotega,Nicaragua,802
Jinotega,Nicaragua,803
Departamento de Nueva Segovia,Nicaragua,804
Matagalpa,Nicaragua,805
Matagalpa,Nicaragua,806
Copan,Honduras,807
Corquin,Honduras,808
Corquin,Honduras,809
Intibuca,Honduras,810
Intibuca,Honduras,811
Minas Gerais,Brazil,812
La Paz,Honduras,813
La Paz,Honduras,814
Jinotega,Nicaragua,815
Cap Haitien,Haiti,816
Minas Gerais,Brazil,817
VERACRUZ,Mexico,818
OAXACA,Mexico,819
OAXACA,Mexico,820
Indiana,United States of America (the),821
Iowa,United States of America (the),822
La Paz,Bolivia (Plurinational State of),823
Junin,Peru,824
Bolívar,Ecuador,825
La Paz,Honduras,826
CHIAPAS,Mexico,827
Oregon,United States of America (the),828
North Carolina,United States of America (the),829
California,United States of America (the),830
Madríz,Nicaragua,831
HB,Germany,832
Maryland,United States of America (the),833
Illinois,United States of America (the),834
Ohio,United States of America (the),835
Ohio,United States of America (the),836
New York,United States of America (the),837
Minnesota,United States of America (the),838
Jawa Tengah,Indonesia,839
Aceh,Indonesia,840
Sumatra Utara,Indonesia,841
Sumatera Utara,Indonesia,842
Sumatera Utara,Indonesia,843
Sumatera Utara,Indonesia,844
Sumatera Utara,Indonesia,845
Utah,United States of America (the),846
Missouri,United States of America (the),847
São Paulo,Brazil,848
Hawaii,United States of America (the),849
Minas Gerais,Brazil,850
Rhode Island,United States of America (the),851
Idaho,United States of America (the),852
California,United States of America (the),853
Massachusetts,United States of America (the),854
New York,United States of America (the),855
Chiapas,Mexico,856
Veracruz,Mexico,857
Colorado,United States of America (the),858
Guatemala,Guatemala,859
Chiangrai,Thailand,860
Chiang Mai,Thailand,861
Chiang Mai,Thailand,862
Idaho,United States of America (the),863
Granada,Nicaragua,864
Minnesota,United States of America (the),865
North Carolina,United States of America (the),866
Maryland,United States of America (the),867
Wisconsin,United States of America (the),868
Vermont,United States of America (the),869
California,United States of America (the),870
Pennsylvania,United States of America (the),871
MAGDALENA,Colombia,872
San Jose,Costa Rica,873
MAGDALENA,Colombia,874
Cajamarca,Peru,875
SANTANDER,Colombia,876
Santander,Colombia,877
